 Acceler X, Acceler Y, Acceler Z, Gyro X, Gyro Y, Gyro Z
0.9309082,0.31640625,-0.17553711,0.9367676,0.32470703,-0.16918945
0.9279785,0.3173828,-0.17895508,0.9367676,0.32470703,-0.16918945
0.9301758,0.32788086,-0.18920898,0.9279785,0.3173828,-0.17895508
0.9169922,0.3388672,-0.18847656,0.9301758,0.32788086,-0.18920898
0.9099121,0.3408203,-0.19042969,0.9301758,0.32788086,-0.18920898
0.8955078,0.38208008,-0.1940918,0.9099121,0.3408203,-0.19042969
0.892334,0.44580078,-0.1928711,0.8955078,0.38208008,-0.1940918
0.8925781,0.46435547,-0.19628906,0.8955078,0.38208008,-0.1940918
0.90625,0.4543457,-0.21533203,0.8925781,0.46435547,-0.19628906
0.91137695,0.43115234,-0.21240234,0.90625,0.4543457,-0.21533203
0.91308594,0.41381836,-0.2006836,0.90625,0.4543457,-0.21533203
0.9055176,0.3720703,-0.17163086,0.91308594,0.41381836,-0.2006836
0.8881836,0.3955078,-0.15576172,0.9055176,0.3720703,-0.17163086
0.8881836,0.41308594,-0.16479492,0.9055176,0.3720703,-0.17163086
0.9013672,0.46240234,-0.16015625,0.8881836,0.41308594,-0.16479492
0.8942871,0.5061035,-0.14819336,0.9013672,0.46240234,-0.16015625
0.8820801,0.50512695,-0.13085938,0.9013672,0.46240234,-0.16015625
0.85546875,0.49658203,-0.107177734,0.8820801,0.50512695,-0.13085938
0.85180664,0.52856445,-0.100097656,0.85546875,0.49658203,-0.107177734
0.8676758,0.54663086,-0.09765625,0.85546875,0.49658203,-0.107177734
0.87841797,0.57177734,-0.100097656,0.8676758,0.54663086,-0.09765625
0.875,0.59472656,-0.096191406,0.87841797,0.57177734,-0.100097656
0.8691406,0.59765625,-0.099853516,0.87841797,0.57177734,-0.100097656
0.8586426,0.59716797,-0.099853516,0.8691406,0.59765625,-0.099853516
0.83203125,0.61157227,-0.1081543,0.8586426,0.59716797,-0.099853516
0.83569336,0.59765625,-0.10131836,0.83203125,0.61157227,-0.1081543
0.8310547,0.62109375,-0.0847168,0.83569336,0.59765625,-0.10131836
0.8120117,0.6298828,-0.088134766,0.8310547,0.62109375,-0.0847168
0.8066406,0.6281738,-0.095214844,0.8120117,0.6298828,-0.088134766
0.78808594,0.6533203,-0.09692383,0.8066406,0.6281738,-0.095214844
0.7775879,0.6923828,-0.07348633,0.78808594,0.6533203,-0.09692383
0.78100586,0.7246094,-0.064208984,0.7775879,0.6923828,-0.07348633
0.7824707,0.74560547,-0.05834961,0.78100586,0.7246094,-0.064208984
0.7675781,0.7414551,-0.07055664,0.7824707,0.74560547,-0.05834961
0.75219727,0.7507324,-0.07543945,0.7675781,0.7414551,-0.07055664
0.7277832,0.8117676,-0.09008789,0.75219727,0.7507324,-0.07543945
0.73046875,0.82958984,-0.084228516,0.7277832,0.8117676,-0.09008789
0.72143555,0.8249512,-0.08154297,0.73046875,0.82958984,-0.084228516
0.6916504,0.80200195,-0.087402344,0.72143555,0.8249512,-0.08154297
0.64819336,0.78564453,-0.088378906,0.6916504,0.80200195,-0.087402344
0.63671875,0.8166504,-0.09057617,0.64819336,0.78564453,-0.088378906
0.63305664,0.8569336,-0.08691406,0.63671875,0.8166504,-0.09057617
0.62280273,0.83618164,-0.08886719,0.63305664,0.8569336,-0.08691406
0.61694336,0.8395996,-0.09423828,0.62280273,0.83618164,-0.08886719
0.5827637,0.86328125,-0.09423828,0.61694336,0.8395996,-0.09423828
0.54907227,0.8967285,-0.09472656,0.5827637,0.86328125,-0.09423828
0.54418945,0.9003906,-0.092285156,0.54907227,0.8967285,-0.09472656
0.5205078,0.8762207,-0.095214844,0.54418945,0.9003906,-0.092285156
0.4645996,0.89038086,-0.09106445,0.5205078,0.8762207,-0.095214844
0.43969727,0.91259766,-0.095703125,0.4645996,0.89038086,-0.09106445
0.41064453,0.9519043,-0.087890625,0.43969727,0.91259766,-0.095703125
0.38549805,0.98583984,-0.11669922,0.41064453,0.9519043,-0.087890625
0.3708496,1.0180664,-0.15234375,0.38549805,0.98583984,-0.11669922
0.35205078,1.0371094,-0.14526367,0.3708496,1.0180664,-0.15234375
0.28881836,1.0725098,-0.07055664,0.35205078,1.0371094,-0.14526367
0.24926758,1.0664063,-0.037353516,0.28881836,1.0725098,-0.07055664
0.17602539,0.873291,-0.064941406,0.24926758,1.0664063,-0.037353516
0.17578125,0.88964844,-0.078125,0.17602539,0.873291,-0.064941406
0.18115234,0.9868164,-0.064697266,0.17602539,0.873291,-0.064941406
0.13500977,1.0029297,-0.010986328,0.18115234,0.9868164,-0.064697266
0.09057617,0.92285156,0.002441406,0.13500977,1.0029297,-0.010986328
0.07788086,0.8635254,0.013183594,0.13500977,1.0029297,-0.010986328
0.034423828,0.8466797,0.064697266,0.07788086,0.8635254,0.013183594
0.015625,0.9086914,0.0715332,0.034423828,0.8466797,0.064697266
0.024902344,0.91967773,0.07373047,0.034423828,0.8466797,0.064697266
0.014160156,0.92211914,0.1015625,0.024902344,0.91967773,0.07373047
0.004394531,0.8718262,0.11987305,0.014160156,0.92211914,0.1015625
-0.007080078,0.861084,0.14770508,0.014160156,0.92211914,0.1015625
-0.022216797,0.8359375,0.17333984,-0.007080078,0.861084,0.14770508
-0.05126953,0.80200195,0.13916016,-0.022216797,0.8359375,0.17333984
-0.061767578,0.8322754,0.12231445,-0.022216797,0.8359375,0.17333984
-0.053955078,0.9057617,0.1352539,-0.061767578,0.8322754,0.12231445
-0.013916016,0.86083984,0.16308594,-0.053955078,0.9057617,0.1352539
0.005126953,0.83740234,0.17675781,-0.053955078,0.9057617,0.1352539
-0.004638672,0.8503418,0.15649414,0.005126953,0.83740234,0.17675781
-0.037353516,0.9194336,0.13378906,-0.004638672,0.8503418,0.15649414
-0.05053711,0.9536133,0.14672852,-0.004638672,0.8503418,0.15649414
-0.041748047,0.9223633,0.12475586,-0.05053711,0.9536133,0.14672852
0.018554688,0.8432617,0.119140625,-0.041748047,0.9223633,0.12475586
0.013671875,0.82177734,0.12915039,-0.041748047,0.9223633,0.12475586
-0.057617188,0.8544922,0.19702148,0.013671875,0.82177734,0.12915039
-0.08300781,0.9355469,0.2109375,-0.057617188,0.8544922,0.19702148
-0.07861328,0.97436523,0.2006836,-0.08300781,0.9355469,0.2109375
-0.080322266,0.96777344,0.1965332,-0.07861328,0.97436523,0.2006836
-0.08959961,0.9501953,0.1850586,-0.080322266,0.96777344,0.1965332
-0.09350586,0.95654297,0.18017578,-0.08959961,0.9501953,0.1850586
-0.083984375,0.9736328,0.18066406,-0.09350586,0.95654297,0.18017578
-0.08666992,0.9953613,0.1862793,-0.083984375,0.9736328,0.18066406
-0.08911133,1.015625,0.1965332,-0.08666992,0.9953613,0.1862793
-0.10522461,1.0102539,0.21118164,-0.08911133,1.015625,0.1965332
-0.1003418,0.98583984,0.2277832,-0.10522461,1.0102539,0.21118164
-0.103759766,1.0056152,0.23632813,-0.1003418,0.98583984,0.2277832
-0.10571289,1.0620117,0.24536133,-0.103759766,1.0056152,0.23632813
-0.10913086,1.0432129,0.234375,-0.10571289,1.0620117,0.24536133
-0.111816406,0.99853516,0.22973633,-0.10913086,1.0432129,0.234375
-0.13549805,0.9572754,0.24487305,-0.111816406,0.99853516,0.22973633
-0.13769531,0.98461914,0.26953125,-0.13549805,0.9572754,0.24487305
-0.12768555,0.99121094,0.2849121,-0.13769531,0.98461914,0.26953125
-0.10888672,0.9523926,0.30004883,-0.12768555,0.99121094,0.2849121
-0.10986328,0.951416,0.28979492,-0.10888672,0.9523926,0.30004883
-0.10668945,0.9772949,0.27783203,-0.10986328,0.951416,0.28979492
-0.07836914,0.982666,0.30737305,-0.10668945,0.9772949,0.27783203
-0.10253906,0.91674805,0.31274414,-0.07836914,0.982666,0.30737305
-0.10961914,0.8745117,0.32495117,-0.10253906,0.91674805,0.31274414
-0.12011719,0.8774414,0.33618164,-0.10961914,0.8745117,0.32495117
-0.09692383,0.9460449,0.31103516,-0.12011719,0.8774414,0.33618164
-0.078125,0.97875977,0.30273438,-0.09692383,0.9460449,0.31103516
-0.07495117,0.98779297,0.3178711,-0.078125,0.97875977,0.30273438
-0.09301758,0.9440918,0.31298828,-0.07495117,0.98779297,0.3178711
-0.09814453,0.93652344,0.2944336,-0.09301758,0.9440918,0.31298828
-0.075683594,0.9082031,0.30029297,-0.09814453,0.93652344,0.2944336
-0.095947266,0.9433594,0.328125,-0.075683594,0.9082031,0.30029297
-0.09375,0.9560547,0.32983398,-0.095947266,0.9433594,0.328125
-0.083496094,0.95166016,0.31445313,-0.09375,0.9560547,0.32983398
-0.08666992,0.9350586,0.30981445,-0.083496094,0.95166016,0.31445313
-0.08129883,0.92871094,0.30615234,-0.083496094,0.95166016,0.31445313
-0.09326172,0.94018555,0.31835938,-0.08129883,0.92871094,0.30615234
-0.10620117,0.9145508,0.3334961,-0.09326172,0.94018555,0.31835938
-0.10620117,0.91430664,0.29858398,-0.09326172,0.94018555,0.31835938
-0.076416016,0.9260254,0.2512207,-0.10620117,0.91430664,0.29858398
-0.05493164,0.9399414,0.24365234,-0.076416016,0.9260254,0.2512207
-0.0546875,0.93652344,0.2421875,-0.076416016,0.9260254,0.2512207
-0.056884766,0.9560547,0.2541504,-0.0546875,0.93652344,0.2421875
-0.0625,0.9667969,0.2734375,-0.056884766,0.9560547,0.2541504
-0.06713867,0.95947266,0.26367188,-0.056884766,0.9560547,0.2541504
-0.05419922,0.93896484,0.2800293,-0.06713867,0.95947266,0.26367188
-0.03491211,0.90405273,0.25805664,-0.05419922,0.93896484,0.2800293
-0.025634766,0.8930664,0.23901367,-0.05419922,0.93896484,0.2800293
